,Flag Tsunami,Year,Focal Depth,EQ Primary,Intensity,Country,Region code,Coordinates,Earthquake : Damage Description
5084,1,142,,7.0,8.0,GREECE,130.0,"36.7,28.0",MODERATE (~$1 to $5 million)
5087,0,522,,,10.0,SYRIA,140.0,"36.2,36.1",SEVERE (~>$5 to $24 million)
5089,1,746,,7.0,11.0,ISRAEL,140.0,"32.0,35.5",SEVERE (~>$5 to $24 million)
5095,0,1114,,,10.0,ITALY,130.0,"42.42,12.1",LIMITED (roughly corresponding to less than $1 million)
5097,0,1356,,,10.0,SWITZERLAND,120.0,"47.4,7.6",EXTREME (~$25 million or more)
5099,1,1406,,6.2,,JAPAN,30.0,"34.4,138.4",LIMITED (roughly corresponding to less than $1 million)
5102,1,1494,,7.2,,GREECE,130.0,"35.5,25.5",MODERATE (~$1 to $5 million)
5105,0,1542,,,10.0,ITALY,130.0,"44.07,11.3",SEVERE (~>$5 to $24 million)
5106,0,1561,,,10.0,ITALY,130.0,"40.5,14.7",MODERATE (~$1 to $5 million)
5107,0,1568,,6.0,,CHINA,30.0,"39.0,119.0",SEVERE (~>$5 to $24 million)
5108,0,1594,,,9.0,PERU,160.0,"-14.0,-76.0",MODERATE (~$1 to $5 million)
5110,0,1616,,,8.0,SWITZERLAND,120.0,"46.8,8.4",SEVERE (~>$5 to $24 million)
5111,0,1616,,,9.0,SYRIA,140.0,"36.1,37.1",SEVERE (~>$5 to $24 million)
5112,0,1618,,,8.0,FRANCE,120.0,"43.6,7.3",MODERATE (~$1 to $5 million)
