,time,latitude,longitude,depth,mag
206,2021-08-03T20:53:51.162Z,36.2437,141.9691,10.0,4.5
207,2021-08-03T20:58:41.016Z,36.1542,142.3022,10.0,4.2
208,2021-08-03T21:03:51.102Z,36.2211,142.1031,10.0,4.1
209,2021-08-03T21:04:32.049Z,36.0787,142.1689,10.0,4.5
210,2021-08-03T21:17:56.682Z,36.2494,142.0744,10.0,4.4
211,2021-08-03T22:10:54.707Z,36.1428,142.0719,10.0,4.9
212,2021-08-03T22:49:06.962Z,36.1767,141.7882,23.5,4.5
213,2021-08-04T00:53:32.886Z,36.077,142.2197,10.0,4.4
214,2021-08-04T01:04:03.407Z,36.1619,141.9568,19.79,4.3
215,2021-08-04T01:09:58.047Z,36.2281,141.9604,30.67,4.3
216,2021-08-04T01:12:06.907Z,36.2756,141.9541,36.29,4.2
217,2021-08-04T01:56:45.503Z,36.1722,142.1333,10.0,4.3
218,2021-08-04T02:11:28.784Z,36.2458,142.0116,32.29,4.2
219,2021-08-04T02:32:51.988Z,36.15,141.8218,35.0,4.1
220,2021-08-04T02:56:24.909Z,36.2425,141.9935,12.57,4.8
221,2021-08-04T03:05:37.366Z,36.258,142.0519,10.0,4.8
222,2021-08-04T04:11:51.664Z,36.1826,142.3371,10.0,4.6
223,2021-08-04T04:40:25.422Z,36.1778,141.8625,14.0,5.4
224,2021-08-04T05:02:52.107Z,36.1178,141.9632,30.51,4.1
225,2021-08-04T06:08:26.104Z,36.2078,141.8615,34.14,4.8
226,2021-08-04T06:14:54.893Z,36.1777,141.9808,10.0,4.8
227,2021-08-04T09:03:22.120Z,36.8278,141.2449,41.72,4.5
228,2021-08-04T09:20:48.798Z,36.2094,142.1607,21.68,4.2
229,2021-08-04T09:26:41.802Z,36.2366,141.8954,27.08,4.8
230,2021-08-04T10:28:27.213Z,36.124,142.0166,10.0,4.4
231,2021-08-04T11:57:38.853Z,35.8782,142.529,10.0,4.2
232,2021-08-04T14:23:56.421Z,36.6575,141.3199,41.7,4.3
233,2021-08-04T14:49:38.771Z,32.6158,141.7764,10.0,4.4
234,2021-08-05T21:10:12.831Z,36.2666,141.5916,35.0,4.5
235,2021-08-06T01:18:53.923Z,44.5283,147.664,165.66,4.2
236,2021-08-06T16:30:50.201Z,38.6621,141.1684,108.56,4.5
237,2021-08-08T06:16:01.899Z,41.4144,142.0761,64.73,4.0
238,2021-08-08T09:37:32.001Z,43.1193,146.4227,67.47,4.4
239,2021-08-09T16:15:09.536Z,36.4659,141.4276,37.3,4.4
240,2021-08-10T12:08:44.988Z,44.1574,148.3205,35.0,5.0
241,2021-08-10T23:28:26.388Z,40.9394,142.9894,43.92,4.3
242,2021-08-12T08:39:19.282Z,43.7831,147.528,55.61,4.4
243,2021-08-12T11:36:11.153Z,34.9341,140.3363,66.81,4.6
244,2021-08-13T00:48:50.347Z,36.5733,141.0737,35.0,4.5
245,2021-08-13T05:36:28.472Z,36.7118,141.8126,11.85,4.5
246,2021-08-14T05:26:39.184Z,43.3908,147.4853,35.0,4.4
247,2021-08-15T20:03:13.658Z,35.4524,136.3642,10.0,4.3
248,2021-08-16T04:16:14.858Z,44.8481,146.6737,158.26,4.2
249,2021-08-16T12:32:33.248Z,41.5979,131.393,559.68,4.3
250,2021-08-17T07:59:45.987Z,32.7517,141.9307,10.0,4.8
251,2021-08-17T16:31:03.796Z,34.974,133.0558,10.0,4.5
252,2021-08-19T23:30:13.777Z,41.4839,142.022,57.49,4.3
253,2021-08-20T18:58:12.632Z,44.735,144.7527,10.0,4.3
254,2021-08-20T20:54:14.711Z,35.6839,140.4007,48.05,4.4
255,2021-08-21T03:26:08.910Z,44.3301,147.9878,106.84,4.2
256,2021-08-21T05:34:55.449Z,44.7244,144.7547,23.35,4.4
257,2021-08-21T16:01:24.366Z,41.958,142.7306,73.29,4.2
258,2021-08-21T19:45:16.660Z,33.7652,141.5463,10.0,4.7
259,2021-08-21T21:55:39.639Z,36.0387,142.4909,10.0,5.2
260,2021-08-22T02:24:35.187Z,37.582,141.7748,56.96,5.3
261,2021-08-22T19:16:58.623Z,40.1927,141.3309,97.72,4.4
262,2021-08-23T01:24:22.465Z,40.7181,145.072,10.0,4.7
263,2021-08-23T21:18:50.329Z,31.5274,142.694,10.0,4.2
264,2021-08-23T23:49:36.856Z,39.3093,143.6793,19.68,4.3
265,2021-08-24T03:50:40.748Z,44.5513,147.698,102.21,4.5
266,2021-08-24T10:20:20.261Z,35.7959,135.5134,358.19,4.2
267,2021-08-25T07:14:02.460Z,36.1057,140.1731,44.85,4.3
268,2021-08-26T02:46:39.621Z,35.9065,142.6939,10.0,4.5
269,2021-08-26T20:46:07.717Z,36.4446,141.1201,34.35,4.8
270,2021-08-26T20:49:04.823Z,36.4405,141.2803,26.49,5.0
